IP_Address,DateTime,Date,Time,Lat_Lng,gcl_wbr,bot_yn,Gbot_yn,UsrAgntSHORT
2877,3410,7,1966,127,4,0,0,45
2877,3411,7,1971,127,4,0,0,45
2362,3412,7,1981,127,4,0,0,45
2414,3413,7,1989,127,13,0,0,31
2414,3413,7,1990,127,13,0,0,31
3075,3413,7,1991,127,13,0,0,31
2414,3413,7,1992,127,13,0,0,31
2487,3414,7,1993,127,4,0,0,12
2762,3414,7,2002,127,10,0,0,47
2414,3415,7,2005,127,13,0,0,31
2762,3416,7,2010,127,10,0,0,47
2410,3421,7,2041,127,4,0,0,12
140,3424,7,2069,127,13,0,0,31
140,3424,7,2070,127,13,0,0,31
3819,3426,7,2088,127,13,0,0,31
3819,3426,7,2090,127,13,0,0,31
3819,3426,7,2091,127,13,0,0,31
3819,3426,7,2091,127,13,0,0,31
3819,3426,7,2092,127,13,0,0,31
3819,3426,7,2093,127,13,0,0,31
1525,3428,7,2116,127,13,0,0,14
2581,3429,7,2128,127,4,0,0,12
1532,3430,7,2134,127,13,0,0,31
2210,3432,7,2157,127,4,0,0,45
191,3433,7,2186,127,13,0,0,31
2771,3433,7,2188,127,10,0,0,47
2210,3433,7,2189,127,4,0,0,45
3008,3434,7,2196,127,4,0,0,12
2771,3435,7,2203,127,10,0,0,47
416,3436,7,2222,127,13,0,0,31
3972,3436,7,2227,127,13,0,0,31
1294,3438,7,2239,127,4,0,0,45
2368,3440,7,2249,127,4,0,0,12
2810,3442,7,2282,127,4,0,0,45
2123,3443,7,2296,127,13,0,0,31
843,3443,7,2297,127,4,0,0,31
342,3445,7,2328,127,10,0,0,47
44,3446,7,2333,127,10,0,0,31
2718,3446,7,2335,127,4,0,0,12
2306,3448,7,2351,127,4,0,0,31
471,3449,7,2364,127,13,0,0,14
2306,3449,7,2367,127,13,0,0,31
2306,3449,7,2368,127,13,0,0,31
471,3450,7,2372,127,4,0,0,14
471,3450,7,2374,127,13,0,0,14
2911,3450,7,2378,127,10,0,0,31
343,3451,7,2382,127,4,0,0,12
2306,3452,7,2387,127,4,0,0,31
2424,3456,7,2445,127,4,0,0,45
1203,3457,7,2453,127,4,0,0,31
1444,3457,7,2454,127,13,0,0,18
2655,3458,7,2461,127,4,0,0,45
756,3459,7,2477,127,10,0,0,47
756,3459,7,2480,127,10,0,0,47
756,3459,7,2483,127,10,0,0,47
471,3461,7,2508,127,4,0,0,31
471,3461,7,2513,127,13,0,0,31
471,3461,7,2514,127,13,0,0,31
471,3461,7,2515,127,13,0,0,31
471,3462,7,2521,127,13,0,0,31
2665,3463,7,2527,127,4,0,0,45
471,3464,7,2529,127,13,0,0,31
2292,3465,7,2536,127,4,0,0,12
317,3466,7,2554,127,4,0,0,45
1444,3467,7,2561,127,13,0,0,18
781,3468,7,2566,127,4,0,0,12
1444,3468,7,2567,127,13,0,0,18
1444,3468,7,2569,127,13,0,0,18
3081,3469,7,2580,127,10,0,0,47
3081,3469,7,2584,127,10,0,0,47
2281,3469,7,2585,127,4,0,0,12
2484,3470,7,2590,127,4,0,0,12
2956,3470,7,2591,127,4,0,0,12
2277,3472,7,2604,127,4,0,0,45
471,3473,7,2612,127,13,0,0,14
723,3475,7,2634,127,13,0,0,31
723,3477,7,2640,127,13,0,0,31
3080,3478,7,2644,127,4,0,0,12
777,3479,7,2655,127,13,0,0,31
